0.0,0.0,0.32,15.0,28.0,masala dosa,1.2,165.0,0.6,2.2,5.5,3.8,masala dosa
0.0,0.0,0.15,10.0,28.0,idli,0.8,135.0,0.2,1.5,0.4,4.2,idli
0.0,0.0,0.38,18.0,26.0,medu vada,1.4,260.0,0.4,3.0,16.0,6.5,medu vada
0.0,0.0,0.42,35.0,32.0,samosa potato,1.1,262.0,1.5,2.1,14.5,4.5,samosa potato
0.0,0.0,0.52,22.0,42.0,pav bhaji,1.5,185.0,3.5,4.0,6.5,4.8,pav bhaji
0.0,0.0,0.35,16.0,28.0,aloo paratha,1.2,220.0,0.8,3.2,9.8,4.6,aloo paratha
0.0,0.0,0.22,12.0,48.0,roti chapati,1.8,240.0,0.4,6.5,3.2,7.5,roti chapati
0.0,0.0,0.31,18.0,52.0,garlic naan,1.9,290.0,2.1,2.8,7.5,8.2,garlic naan
0.0,0.0,0.4,28.0,14.0,gulab jamun,0.5,320.0,38.0,0.5,14.0,4.2,gulab jamun
0.0,0.0,0.15,140.0,18.0,rasgulla,0.3,186.0,35.0,0.1,1.2,4.0,rasgulla
0.0,0.0,0.28,120.0,22.0,kheer rice pudding,0.4,145.0,16.0,0.6,4.8,4.2,kheer rice pudding
0.0,0.0,0.3,95.0,6.0,plain yogurt curd,0.1,61.0,4.7,0.0,3.3,3.5,plain yogurt curd
0.0,0.0,0.32,180.0,4.5,cottage cheese paneer raw,0.2,265.0,1.2,0.0,20.8,18.3,cottage cheese paneer raw
0.0,0.0,0.45,8.0,24.0,upma semolina,0.8,155.0,0.8,2.0,5.2,3.9,upma semolina
0.0,0.0,0.38,12.0,26.0,poha flattened rice,1.4,180.0,1.0,2.4,6.8,3.8,poha flattened rice
0.0,0.0,0.28,24.0,16.0,sambhar vegetable lentil stew,1.2,75.0,2.2,3.5,2.1,3.4,sambhar vegetable lentil stew
0.0,0.0,0.35,30.0,12.0,vegetable korma,0.9,140.0,3.5,3.0,9.2,3.1,vegetable korma
0.0,0.0,0.4,25.0,15.0,aloo gobi,1.1,115.0,2.4,3.2,5.5,2.8,aloo gobi
0.0,0.0,0.32,20.0,18.0,rajma kidney bean curry,2.1,145.0,1.8,5.2,4.5,6.5,rajma kidney bean curry
0.0,0.0,0.35,18.0,24.0,chole bhature,1.5,295.0,2.0,4.2,16.0,7.5,chole bhature
0.0,0.0,0.4,15.0,38.0,pani puri,0.9,180.0,2.5,2.0,5.0,3.2,pani puri
0.0,0.0,0.48,22.0,35.0,bhel puri,1.2,215.0,4.2,3.5,7.0,4.8,bhel puri
0.0,0.0,0.42,32.0,28.0,dahi puri,1.0,210.0,8.5,2.4,8.5,5.2,dahi puri
0.0,0.0,0.25,110.0,18.0,mango lassi,0.2,135.0,16.5,0.5,3.2,3.5,mango lassi
0.0,0.0,0.2,120.0,12.0,masala chai with milk,0.1,75.0,10.0,0.0,2.4,2.2,masala chai with milk
