Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food_normalized
0.095,0.034,0.2,11.6,17.9,garlic bread,1.3,151.0,1.6,1.1,7.1,3.6,garlic bread
0.047,0.039,0.2,23.2,15.4,rye bread toasted,0.9,82.0,1.2,1.9,1.0,2.7,rye bread toasted
0.0,0.084,0.2,15.2,23.6,whole wheat bread,1.4,128.0,1.8,2.8,2.5,3.9,whole wheat bread
0.0,0.012,0.2,15.1,23.7,whole wheat bread toasted,1.4,128.0,1.8,2.8,2.5,3.9,whole wheat bread toasted
0.8,0.038,0.1,54.2,35.5,pan dulce bread,1.8,231.0,7.9,1.4,7.3,5.9,pan dulce bread
0.0,0.064,0.026,18.8,11.8,rice bran bread toasted,1.0,66.0,1.3,1.3,1.3,2.4,rice bran bread toasted
0.0,0.068,0.1,4.2,15.4,pita bread whole wheat,0.9,74.0,0.2,2.1,0.7,2.7,pita bread whole wheat
0.03,0.084,0.2,25.0,13.6,wheat germ bread toasted,1.0,73.0,1.0,0.6,0.8,2.7,wheat germ bread toasted
0.0,0.06,0.2,17.7,12.4,pumpernickel bread,0.7,65.0,0.1,1.7,0.8,2.3,pumpernickel bread
0.0,0.2,0.5,86.6,73.4,frybread,6.1,502.0,3.1,0.0,18.6,10.2,frybread
0.0,0.005,0.2,33.7,15.4,white bread toasted,0.9,83.0,1.3,0.7,1.1,2.5,white bread toasted
0.0,0.0,0.028,51.5,20.2,piki bread,1.7,109.0,0.4,2.6,2.0,2.5,piki bread
0.008,0.048,0.1,39.6,13.4,wheat bread toasted,1.0,75.0,1.5,1.1,1.0,3.1,wheat bread toasted
0.0,0.012,0.3,51.6,33.4,pita bread,1.6,165.0,0.8,1.3,0.7,5.5,pita bread
0.084,0.059,0.1,0.072,15.1,potato bread,0.072,85.0,3.0,2.0,1.0,4.0,potato bread
0.0,0.066,0.2,37.2,19.1,egg bread,1.2,115.0,0.7,0.9,2.4,3.8,egg bread
0.004,0.079,0.1,18.0,13.2,oatmeal bread toasted,0.7,73.0,2.2,1.1,1.2,2.3,oatmeal bread toasted
0.0,0.007,0.4,43.2,21.5,cheese bread,1.2,196.0,1.0,1.0,10.0,5.0,cheese bread
0.0,0.085,0.2,21.5,15.1,pumpernickel bread toasted,0.9,80.0,0.2,2.1,1.0,2.8,pumpernickel bread toasted
0.052,0.037,0.1,21.1,16.7,raisin bread,0.9,88.0,1.8,1.4,1.4,2.5,raisin bread
0.0,0.027,0.1,18.8,14.8,pumpernickel roll,0.8,77.0,0.1,1.5,0.8,3.0,pumpernickel roll
0.2,0.03,0.047,4.9,14.4,cinnamon raisin bagel,1.0,71.0,1.6,0.6,0.4,2.5,cinnamon raisin bagel
0.0,0.054,0.2,101.5,25.5,english muffin,1.6,127.0,0.9,2.6,1.1,5.0,english muffin
0.0,0.008,0.3,12.9,22.8,rye dinner roll,1.2,123.0,0.5,2.1,1.5,4.4,rye dinner roll
